[00:00:25.669] (7f57c5319700) TRACE  -> handler;
[00:00:25.669] (7f57c5319700) TRACE  <- handler;
[00:00:25.669] (7f57c5319700) TRACE  -> handler;
[00:00:25.669] (7f57c5319700) TRACE  <- handler;
[00:00:25.669] (7f57c5319700) TRACE  -> handler;
[00:00:25.669] (7f57c5319700) TRACE  <- handler;
[00:00:25.670] (7f57c5319700) TRACE  -> handler;
[00:00:25.670] (7f57c5319700) DEBUG  Connection #0 to host ip-api.com left intact
[00:00:25.670] (7f57c5319700) TRACE  <- handler;
[00:00:25.671] (7f57c551a700) TRACE  -> send_async;
[00:00:25.671] (7f57c5319700) TRACE  -- handler;
[00:00:25.671] (7f57c551a700) TRACE  <- send_async;
[00:00:25.671] (7f57c551a700) TRACE  -- send_async;
[00:00:25.671] (7f57c551a700) INFO   request completed
